Date,Value
2020-11-01,273198.0
2020-10-31,273139.0
2020-10-30,265605.0
2020-10-29,272810.0
2020-10-28,258331.0
2020-10-27,249328.0
2020-10-26,249473.0
2020-10-25,239916.0
2020-10-24,304131.0
2020-10-23,320764.0
2020-10-22,335567.0
2020-10-21,307518.0
2020-10-20,327487.0
2020-10-19,300903.0
2020-10-18,229188.0
2020-10-17,272613.0
2020-10-16,321495.0
2020-10-15,337546.0
2020-10-14,310908.0
2020-10-13,329911.0
2020-10-12,310812.0
2020-10-11,253485.0
2020-10-10,295570.0
2020-10-09,335917.0
2020-10-08,327068.0
2020-10-07,367060.0
2020-10-06,314751.0
2020-10-05,291945.0
2020-10-04,265583.0
2020-10-03,308298.0
2020-10-02,312259.0
2020-10-01,301807.0
2020-09-30,347857.0
2020-09-29,343722.0
2020-09-28,291464.0
2020-09-27,256059.0
2020-09-26,273219.0
2020-09-25,349404.0
2020-09-24,312797.0
2020-09-23,345970.0
2020-09-22,309101.0
2020-09-21,293648.0
2020-09-20,255602.0
2020-09-19,293197.0
2020-09-18,321101.0
2020-09-17,344820.0
2020-09-16,338696.0
2020-09-15,328814.0
2020-09-14,349764.0
2020-09-13,251774.0
2020-09-12,296767.0
2020-09-11,304149.0
2020-09-10,341825.0
2020-09-09,310690.0
2020-09-08,328306.0
2020-09-07,323182.0
2020-09-06,258797.0
2020-09-05,321132.0
2020-09-04,292923.0
2020-09-03,305389.0
2020-09-02,312045.0
2020-09-01,371691.0
2020-08-31,298800.0
2020-08-30,265680.0
2020-08-29,289608.0
2020-08-28,349009.0
2020-08-27,324513.0
2020-08-26,320047.0
2020-08-25,300429.0
2020-08-24,325028.0
2020-08-23,285434.0
2020-08-22,308132.0
2020-08-21,310171.0
2020-08-20,329738.0
2020-08-19,330014.0
2020-08-18,341325.0
2020-08-17,289154.0
2020-08-16,281605.0
2020-08-15,309822.0
2020-08-14,360801.0
2020-08-13,320583.0
2020-08-12,341750.0
2020-08-11,345467.0
2020-08-10,303783.0
2020-08-09,264386.0
2020-08-08,279702.0
2020-08-07,322363.0
2020-08-06,352118.0
2020-08-05,287684.0
2020-08-04,325055.0
2020-08-03,329505.0
2020-08-02,283820.0
2020-08-01,292926.0
2020-07-31,353027.0
2020-07-30,323225.0
2020-07-29,342341.0
2020-07-28,350124.0
2020-07-27,321871.0
2020-07-26,294488.0
2020-07-25,289949.0
2020-07-24,365161.0
2020-07-23,332067.0
2020-07-22,360358.0
2020-07-21,308464.0
2020-07-20,305730.0
2020-07-19,273618.0
2020-07-18,307556.0
2020-07-17,290436.0
2020-07-16,341615.0
2020-07-15,311979.0
2020-07-14,355550.0
2020-07-13,306196.0
2020-07-12,279186.0
2020-07-11,303255.0
2020-07-10,341593.0
2020-07-09,358255.0
2020-07-08,342898.0
2020-07-07,341699.0
2020-07-06,334463.0
2020-07-05,270576.0
2020-07-04,284844.0
2020-07-03,326595.0
2020-07-02,334764.0
2020-07-01,377632.0
2020-06-30,295873.0
2020-06-29,311301.0
2020-06-28,260783.0
2020-06-27,271853.0
2020-06-26,326538.0
2020-06-25,308245.0
2020-06-24,307684.0
2020-06-23,350108.0
2020-06-22,295556.0
2020-06-21,254911.0
2020-06-20,279280.0
2020-06-19,339012.0
2020-06-18,278622.0
2020-06-17,328530.0
2020-06-16,335243.0
2020-06-15,289685.0
2020-06-14,271315.0
2020-06-13,275627.0
2020-06-12,313063.0
2020-06-11,326872.0
2020-06-10,319466.0
2020-06-09,320953.0
2020-06-08,310460.0
2020-06-07,248115.0
2020-06-06,280649.0
2020-06-05,321671.0
2020-06-04,313108.0
2020-06-03,308625.0
2020-06-02,298157.0
2020-06-01,302609.0
2020-05-31,253287.0
2020-05-30,281145.0
2020-05-29,276012.0
2020-05-28,294489.0
2020-05-27,287455.0
2020-05-26,291137.0
2020-05-25,261163.0
2020-05-24,211050.0
2020-05-23,265375.0
2020-05-22,273638.0
2020-05-21,293771.0
2020-05-20,275788.0
2020-05-19,270773.0
2020-05-18,269104.0
2020-05-17,231918.0
2020-05-16,291317.0
2020-05-15,305379.0
2020-05-14,264283.0
2020-05-13,291745.0
2020-05-12,339565.0
2020-05-11,300625.0
2020-05-10,281728.0
2020-05-09,307093.0
2020-05-08,317934.0
2020-05-07,336381.0
2020-05-06,327922.0
2020-05-05,323943.0
2020-05-04,321484.0
2020-05-03,277394.0
2020-05-02,282669.0
2020-05-01,335844.0
2020-04-30,316948.0
2020-04-29,326263.0
2020-04-28,318594.0
2020-04-27,307139.0
2020-04-26,249019.0
2020-04-25,276388.0
2020-04-24,315394.0
2020-04-23,324658.0
2020-04-22,273832.0
2020-04-21,306264.0
2020-04-20,305774.0
2020-04-19,247476.0
2020-04-18,284802.0
2020-04-17,279707.0
2020-04-16,317333.0
2020-04-15,304818.0
2020-04-14,293959.0
2020-04-13,283454.0
2020-04-12,224232.0
2020-04-11,244111.0
2020-04-10,284042.0
2020-04-09,281112.0
2020-04-08,281017.0
2020-04-07,307080.0
2020-04-06,274863.0
2020-04-05,235466.0
2020-04-04,248651.0
2020-04-03,273371.0
2020-04-02,293336.0
2020-04-01,276618.0
2020-03-31,284553.0
2020-03-30,271674.0
2020-03-29,228695.0
2020-03-28,236015.0
2020-03-27,271476.0
2020-03-26,286379.0
2020-03-25,213684.0
2020-03-24,272858.0
2020-03-23,255089.0
2020-03-22,205480.0
2020-03-21,241262.0
2020-03-20,278732.0
2020-03-19,259744.0
2020-03-18,226130.0
2020-03-17,272185.0
2020-03-16,264670.0
2020-03-15,218209.0
2020-03-14,273164.0
2020-03-13,268867.0
2020-03-12,342871.0
2020-03-11,282158.0
2020-03-10,323260.0
2020-03-09,341993.0
2020-03-08,297582.0
2020-03-07,308409.0
2020-03-06,332658.0
2020-03-05,343507.0
2020-03-04,352908.0
2020-03-03,336856.0
2020-03-02,336856.0
2020-03-01,337674.0
2020-02-29,302722.0
2020-02-28,363076.0
2020-02-27,333621.0
2020-02-26,324397.0
2020-02-25,329292.0
2020-02-24,324317.0
2020-02-23,281338.0
2020-02-22,300931.0
2020-02-21,333943.0
2020-02-20,312257.0
2020-02-19,329727.0
2020-02-18,326133.0
2020-02-17,336202.0
2020-02-16,287672.0
2020-02-15,317700.0
2020-02-14,320995.0
2020-02-13,334371.0
2020-02-12,338620.0
2020-02-11,359449.0
2020-02-10,293033.0
2020-02-09,312303.0
2020-02-08,313558.0
2020-02-07,329622.0
2020-02-06,310467.0
2020-02-05,363772.0
2020-02-04,363772.0
2020-02-03,326015.0
2020-02-02,287517.0
2020-02-01,300224.0
2020-01-31,330148.0
2020-01-30,328495.0
2020-01-29,336452.0
2020-01-28,336119.0
2020-01-27,276009.0
2020-01-26,259076.0
2020-01-25,283465.0
2020-01-24,309921.0
2020-01-23,324086.0
2020-01-22,321769.0
2020-01-21,308741.0
2020-01-20,307269.0
2020-01-19,277684.0
2020-01-18,281541.0
2020-01-17,316933.0
2020-01-16,318281.0
2020-01-15,323387.0
2020-01-14,337665.0
2020-01-13,283901.0
2020-01-12,276804.0
2020-01-11,302592.0
2020-01-10,322925.0
2020-01-09,314334.0
2020-01-08,308641.0
2020-01-07,333056.0
2020-01-06,291456.0
2020-01-05,281607.0
2020-01-04,280850.0
2020-01-03,308389.0
2020-01-02,288545.0
2020-01-01,246464.0
2019-12-31,285595.0
2019-12-30,315215.0
2019-12-29,273726.0
2019-12-28,291149.0
2019-12-27,313785.0
2019-12-26,288019.0
2019-12-25,237004.0
2019-12-24,281423.0
2019-12-23,294653.0
2019-12-22,274756.0
2019-12-21,304105.0
2019-12-20,324436.0
2019-12-19,311216.0
2019-12-18,305195.0
2019-12-17,309825.0
2019-12-16,318330.0
2019-12-15,257255.0
2019-12-14,287646.0
2019-12-13,315436.0
2019-12-12,304414.0
2019-12-11,283984.0
2019-12-10,312164.0
2019-12-09,305668.0
2019-12-08,271987.0
2019-12-07,277958.0
2019-12-06,307269.0
2019-12-05,303702.0
2019-12-04,329014.0
2019-12-03,328247.0
2019-12-02,306800.0
2019-12-01,268074.0
2019-11-30,269820.0
2019-11-29,301857.0
2019-11-28,300591.0
2019-11-27,307982.0
2019-11-26,310677.0
2019-11-25,270393.0
2019-11-24,259813.0
2019-11-23,298342.0
2019-11-22,300504.0
2019-11-21,314663.0
2019-11-20,312303.0
2019-11-19,316906.0
2019-11-18,295125.0
2019-11-17,255803.0
2019-11-16,274758.0
2019-11-15,315041.0
2019-11-14,340881.0
2019-11-13,309535.0
2019-11-12,291944.0
2019-11-11,316637.0
2019-11-10,291649.0
2019-11-09,297323.0
2019-11-08,300998.0
2019-11-07,314275.0
2019-11-06,304732.0
2019-11-05,322142.0
2019-11-04,301286.0
2019-11-03,279480.0
2019-11-02,277027.0
2019-11-01,307202.0
2019-10-31,283676.0
2019-10-30,304047.0
2019-10-29,297058.0
2019-10-28,298211.0
2019-10-27,247440.0
2019-10-26,295261.0
2019-10-25,317762.0
2019-10-24,294687.0
2019-10-23,339371.0
2019-10-22,331170.0
2019-10-21,340590.0
2019-10-20,281287.0
2019-10-19,296278.0
2019-10-18,329407.0
2019-10-17,324282.0
2019-10-16,321260.0
2019-10-15,325494.0
2019-10-14,295437.0
2019-10-13,272106.0
2019-10-12,293240.0
2019-10-11,334359.0
2019-10-10,333181.0
2019-10-09,299660.0
2019-10-08,324822.0
2019-10-07,318388.0
2019-10-06,269727.0
2019-10-05,318911.0
2019-10-04,328889.0
2019-10-03,318239.0
2019-10-02,316499.0
2019-10-01,316981.0
2019-09-30,291511.0
2019-09-29,276034.0
2019-09-28,304610.0
2019-09-27,292592.0
2019-09-26,342910.0
2019-09-25,329250.0
2019-09-24,336370.0
2019-09-23,273501.0
2019-09-22,306132.0
2019-09-21,323738.0
2019-09-20,325352.0
2019-09-19,330639.0
2019-09-18,347081.0
2019-09-17,328106.0
2019-09-16,331156.0
2019-09-15,261449.0
2019-09-14,288614.0
2019-09-13,296945.0
2019-09-12,320871.0
2019-09-11,323091.0
2019-09-10,323888.0
2019-09-09,300532.0
2019-09-08,274664.0
2019-09-07,300713.0
2019-09-06,348639.0
2019-09-05,336593.0
2019-09-04,309155.0
2019-09-03,353772.0
2019-09-02,311144.0
2019-09-01,266109.0
2019-08-31,322491.0
2019-08-30,328657.0
2019-08-29,331113.0
2019-08-28,325736.0
2019-08-27,309867.0
2019-08-26,302201.0
2019-08-25,276626.0
2019-08-24,290987.0
2019-08-23,325088.0
2019-08-22,307053.0
2019-08-21,292684.0
2019-08-20,316466.0
2019-08-19,311978.0
2019-08-18,262209.0
2019-08-17,272513.0
2019-08-16,307384.0
2019-08-15,337594.0
2019-08-14,343385.0
2019-08-13,314018.0
2019-08-12,257754.0
2019-08-11,263216.0
2019-08-10,292831.0
2019-08-09,327659.0
2019-08-08,315560.0
2019-08-07,297718.0
2019-08-06,351534.0
2019-08-05,324788.0
2019-08-04,288199.0
2019-08-03,317130.0
2019-08-02,336906.0
2019-08-01,322602.0
2019-07-31,345649.0
2019-07-30,311310.0
2019-07-29,319718.0
2019-07-28,262722.0
2019-07-27,272915.0
2019-07-26,305377.0
2019-07-25,320594.0
2019-07-24,281997.0
2019-07-23,306607.0
2019-07-22,304660.0
2019-07-21,270566.0
2019-07-20,306431.0
2019-07-19,279482.0
2019-07-18,286750.0
2019-07-17,303431.0
2019-07-16,340398.0
2019-07-15,328215.0
2019-07-14,286027.0
2019-07-13,287081.0
2019-07-12,338788.0
2019-07-11,304777.0
2019-07-10,297907.0
2019-07-09,349466.0
2019-07-08,361202.0
2019-07-07,299735.0
2019-07-06,334425.0
2019-07-05,358206.0
2019-07-04,349976.0
2019-07-03,373266.0
2019-07-02,349125.0
2019-07-01,311174.0
2019-06-30,309729.0
2019-06-29,335750.0
2019-06-28,378424.0
2019-06-27,323823.0
2019-06-26,366825.0
2019-06-25,331669.0
2019-06-24,360906.0
2019-06-23,356814.0
2019-06-22,325468.0
2019-06-21,309504.0
2019-06-20,304330.0
2019-06-19,373142.0
2019-06-18,365530.0
2019-06-17,292724.0
2019-06-16,273369.0
2019-06-15,307119.0
2019-06-14,335769.0
2019-06-13,335458.0
2019-06-12,300546.0
2019-06-11,312709.0
2019-06-10,327393.0
2019-06-09,284379.0
2019-06-08,276743.0
2019-06-07,328644.0
2019-06-06,339083.0
2019-06-05,345664.0
2019-06-04,344001.0
2019-06-03,260404.0
2019-06-02,278267.0
2019-06-01,305219.0
2019-05-31,273596.0
2019-05-30,340085.0
2019-05-29,368011.0
2019-05-28,354108.0
2019-05-27,358015.0
2019-05-26,344851.0
2019-05-25,305274.0
2019-05-24,336438.0
2019-05-23,354623.0
2019-05-22,348691.0
2019-05-21,339659.0
2019-05-20,345233.0
2019-05-19,317028.0
2019-05-18,333561.0
2019-05-17,334006.0
2019-05-16,338392.0
2019-05-15,340759.0
2019-05-14,346768.0
2019-05-13,371452.0
2019-05-12,320382.0
2019-05-11,327332.0
2019-05-10,299922.0
2019-05-09,334788.0
2019-05-08,364493.0
2019-05-07,304861.0
2019-05-06,357516.0
2019-05-05,313472.0
2019-05-04,342804.0
2019-05-03,365602.0
2019-05-02,437027.0
2019-05-01,424144.0
2019-04-30,327176.0
2019-04-29,337831.0
2019-04-28,367895.0
2019-04-27,345582.0
