Date,Value
2020-11-01,592197.0
2020-10-31,613906.0
2020-10-30,635998.0
2020-10-29,652778.0
2020-10-28,615001.0
2020-10-27,600338.0
2020-10-26,579939.0
2020-10-25,547380.0
2020-10-24,657714.0
2020-10-23,712518.0
2020-10-22,753892.0
2020-10-21,687152.0
2020-10-20,713764.0
2020-10-19,679146.0
2020-10-18,512486.0
2020-10-17,586741.0
2020-10-16,712317.0
2020-10-15,743078.0
2020-10-14,680468.0
2020-10-13,732250.0
2020-10-12,658073.0
2020-10-11,541483.0
2020-10-10,631182.0
2020-10-09,714645.0
2020-10-08,698982.0
2020-10-07,762636.0
2020-10-06,692891.0
2020-10-05,635097.0
2020-10-04,562147.0
2020-10-03,642826.0
2020-10-02,689077.0
2020-10-01,679937.0
2020-09-30,748143.0
2020-09-29,735651.0
2020-09-28,629197.0
2020-09-27,538619.0
2020-09-26,591249.0
2020-09-25,741029.0
2020-09-24,684217.0
2020-09-23,733591.0
2020-09-22,678668.0
2020-09-21,644695.0
2020-09-20,535691.0
2020-09-19,624125.0
2020-09-18,687638.0
2020-09-17,740029.0
2020-09-16,747111.0
2020-09-15,718787.0
2020-09-14,726085.0
2020-09-13,540351.0
2020-09-12,604531.0
2020-09-11,677215.0
2020-09-10,745318.0
2020-09-09,681429.0
2020-09-08,693543.0
2020-09-07,672721.0
2020-09-06,557370.0
2020-09-05,685736.0
2020-09-04,680093.0
2020-09-03,691592.0
2020-09-02,714425.0
2020-09-01,795329.0
2020-08-31,662241.0
2020-08-30,555079.0
2020-08-29,617518.0
2020-08-28,720277.0
2020-08-27,702891.0
2020-08-26,696908.0
2020-08-25,678008.0
2020-08-24,674821.0
2020-08-23,569381.0
2020-08-22,649053.0
2020-08-21,675988.0
2020-08-20,705709.0
2020-08-19,710405.0
2020-08-18,739835.0
2020-08-17,652100.0
2020-08-16,571198.0
2020-08-15,664922.0
2020-08-14,755913.0
2020-08-13,690043.0
2020-08-12,733894.0
2020-08-11,744212.0
2020-08-10,683507.0
2020-08-09,564507.0
2020-08-08,625679.0
2020-08-07,707225.0
2020-08-06,762479.0
2020-08-05,655315.0
2020-08-04,708169.0
2020-08-03,708227.0
2020-08-02,616214.0
2020-08-01,644333.0
2020-07-31,733209.0
2020-07-30,689993.0
2020-07-29,717842.0
2020-07-28,745966.0
2020-07-27,690892.0
2020-07-26,608050.0
2020-07-25,619497.0
2020-07-24,740460.0
2020-07-23,696765.0
2020-07-22,748958.0
2020-07-21,660884.0
2020-07-20,644972.0
2020-07-19,550119.0
2020-07-18,632584.0
2020-07-17,629600.0
2020-07-16,709099.0
2020-07-15,671171.0
2020-07-14,734433.0
2020-07-13,638906.0
2020-07-12,525851.0
2020-07-11,601249.0
2020-07-10,681724.0
2020-07-09,708162.0
2020-07-08,702636.0
2020-07-07,706177.0
2020-07-06,678157.0
2020-07-05,509206.0
2020-07-04,561108.0
2020-07-03,661454.0
2020-07-02,674745.0
2020-07-01,758469.0
2020-06-30,621031.0
2020-06-29,625207.0
2020-06-28,500152.0
2020-06-27,546558.0
2020-06-26,646111.0
2020-06-25,631260.0
2020-06-24,625283.0
2020-06-23,704215.0
2020-06-22,603576.0
2020-06-21,475037.0
2020-06-20,553650.0
2020-06-19,674050.0
2020-06-18,582343.0
2020-06-17,669086.0
2020-06-16,683561.0
2020-06-15,606713.0
2020-06-14,502951.0
2020-06-13,541115.0
2020-06-12,635165.0
2020-06-11,673800.0
2020-06-10,645485.0
2020-06-09,644690.0
2020-06-08,625333.0
2020-06-07,487527.0
2020-06-06,548424.0
2020-06-05,643217.0
2020-06-04,628388.0
2020-06-03,646746.0
2020-06-02,638403.0
2020-06-01,623944.0
2020-05-31,495162.0
2020-05-30,556912.0
2020-05-29,591013.0
2020-05-28,617362.0
2020-05-27,603823.0
2020-05-26,605213.0
2020-05-25,551378.0
2020-05-24,458476.0
2020-05-23,558174.0
2020-05-22,558174.0
2020-05-21,624412.0
2020-05-20,604523.0
2020-05-19,581379.0
2020-05-18,602631.0
2020-05-17,495954.0
2020-05-16,589910.0
2020-05-15,644507.0
2020-05-14,593862.0
2020-05-13,619855.0
2020-05-12,686850.0
2020-05-11,645065.0
2020-05-10,571802.0
2020-05-09,631542.0
2020-05-08,670883.0
2020-05-07,696092.0
2020-05-06,671519.0
2020-05-05,652289.0
2020-05-04,651350.0
2020-05-03,553075.0
2020-05-02,578296.0
2020-05-01,680654.0
2020-04-30,687395.0
2020-04-29,679872.0
2020-04-28,644967.0
2020-04-27,629817.0
2020-04-26,499998.0
2020-04-25,554934.0
2020-04-24,641059.0
2020-04-23,666919.0
2020-04-22,574265.0
2020-04-21,610555.0
2020-04-20,619559.0
2020-04-19,485888.0
2020-04-18,562996.0
2020-04-17,579437.0
2020-04-16,635870.0
2020-04-15,612959.0
2020-04-14,583665.0
2020-04-13,549230.0
2020-04-12,437242.0
2020-04-11,474445.0
2020-04-10,550585.0
2020-04-09,544185.0
2020-04-08,554336.0
2020-04-07,598670.0
2020-04-06,557192.0
2020-04-05,452282.0
2020-04-04,479599.0
2020-04-03,548300.0
2020-04-02,569905.0
2020-04-01,544088.0
2020-03-31,546702.0
2020-03-30,535787.0
2020-03-29,428425.0
2020-03-28,469113.0
2020-03-27,529197.0
2020-03-26,539881.0
2020-03-25,456328.0
2020-03-24,528586.0
2020-03-23,509038.0
2020-03-22,409829.0
2020-03-21,469859.0
2020-03-20,564748.0
2020-03-19,525607.0
2020-03-18,476482.0
2020-03-17,540902.0
2020-03-16,532450.0
2020-03-15,413935.0
2020-03-14,517382.0
2020-03-13,517382.0
2020-03-12,653156.0
2020-03-11,528053.0
2020-03-10,601526.0
2020-03-09,606002.0
2020-03-08,501571.0
2020-03-07,526880.0
2020-03-06,601698.0
2020-03-05,603996.0
2020-03-04,625096.0
2020-03-03,593725.0
2020-03-02,608032.0
2020-03-01,608032.0
2020-02-29,608032.0
2020-02-28,611266.0
2020-02-27,578398.0
2020-02-26,588558.0
2020-02-25,566484.0
2020-02-24,558687.0
2020-02-23,465169.0
2020-02-22,525819.0
2020-02-21,574950.0
2020-02-20,563175.0
2020-02-19,580124.0
2020-02-18,569291.0
2020-02-17,584197.0
2020-02-16,474183.0
2020-02-15,563001.0
2020-02-14,564227.0
2020-02-13,608036.0
2020-02-12,612313.0
2020-02-11,641161.0
2020-02-10,526825.0
2020-02-09,508254.0
2020-02-08,529398.0
2020-02-07,599280.0
2020-02-06,552411.0
2020-02-05,552411.0
2020-02-04,555771.0
2020-02-03,573277.0
2020-02-02,501222.0
2020-02-01,523782.0
2020-01-31,572887.0
2020-01-30,570253.0
2020-01-29,573372.0
2020-01-28,589168.0
2020-01-27,504693.0
2020-01-26,429535.0
2020-01-25,461312.0
2020-01-24,534403.0
2020-01-23,535923.0
2020-01-22,544484.0
2020-01-21,544525.0
2020-01-20,532773.0
2020-01-19,477110.0
2020-01-18,491063.0
2020-01-17,562153.0
2020-01-16,555072.0
2020-01-15,580574.0
2020-01-14,616194.0
2020-01-13,501600.0
2020-01-12,450668.0
2020-01-11,509544.0
2020-01-10,590633.0
2020-01-09,553318.0
2020-01-08,558689.0
2020-01-07,576831.0
2020-01-06,522665.0
2020-01-05,459065.0
2020-01-04,465366.0
2020-01-03,523231.0
2020-01-02,475461.0
2020-01-01,389706.0
2019-12-31,489182.0
2019-12-30,544505.0
2019-12-29,449701.0
2019-12-28,490465.0
2019-12-27,539658.0
2019-12-26,476783.0
2019-12-25,401735.0
2019-12-24,493086.0
2019-12-23,518639.0
2019-12-22,432257.0
2019-12-21,479841.0
2019-12-20,476911.0
2019-12-19,539310.0
2019-12-18,560284.0
2019-12-17,557300.0
2019-12-16,549300.0
2019-12-15,434034.0
2019-12-14,475246.0
2019-12-13,547987.0
2019-12-12,531404.0
2019-12-11,521113.0
2019-12-10,548706.0
2019-12-09,538820.0
2019-12-08,434939.0
2019-12-07,465570.0
2019-12-06,534431.0
2019-12-05,535061.0
2019-12-04,569753.0
2019-12-03,565368.0
2019-12-02,552276.0
2019-12-01,468193.0
2019-11-30,493866.0
2019-11-29,543960.0
2019-11-28,533010.0
2019-11-27,566552.0
2019-11-26,576620.0
2019-11-25,495578.0
2019-11-24,436089.0
2019-11-23,514757.0
2019-11-22,607299.0
2019-11-21,584765.0
2019-11-20,525739.0
2019-11-19,561226.0
2019-11-18,510494.0
2019-11-17,430853.0
2019-11-16,495077.0
2019-11-15,575887.0
2019-11-14,535548.0
2019-11-13,555616.0
2019-11-12,501680.0
2019-11-11,511673.0
